County,State,Mask Mandate,Case per 100k,Case Change,Death Change,Positivity Rate
Henry County  MO,Missouri,No,18,-0.6,-1,0.012,Restaurants status: Indoor dining allowed with restrictions
Butte County  SD,South Dakota,No,38,0,-1,0.062,Restaurants status: Dine-in allowed with restrictions
Edmunds County  SD,South Dakota,No,104,0.33,-1,0.125,Restaurants status: Dine-in allowed with restrictions
Deuel County  SD,South Dakota,No,92,-0.2,-1,0.125,Restaurants status: Dine-in allowed with restrictions
Cooper County  MO,Missouri,No,23,-0.2,-1,0.038,Restaurants status: Indoor dining allowed with restrictions
Livingston County  MO,Missouri,No,26,3,-1,0.01,Restaurants status: Indoor dining allowed with restrictions
Clay County  TN,Tennessee,No,53,0.33,-1,0,Restaurants status: Dine-in allowed with restrictions
Moniteau County  MO,Missouri,No,25,0,-1,0.048,Restaurants status: Indoor dining allowed with restrictions
Montgomery County  MS,Mississippi,No,41,3,0,0,Restaurants status: Dine-in allowed with restrictions
Stone County  MS,Mississippi,No,22,-0.5,-1,0.05,Restaurants status: Dine-in allowed with restrictions
Lawrence County  AR,Arkansas,No,24,-0.2,-1,0.013,Restaurants status: Dine-in allowed with restrictions
Jasper County  MS,Mississippi,No,24,-0.56,-1,0.026,Restaurants status: Dine-in allowed with restrictions
Maries County  MO,Missouri,No,46,-0.56,-1,0.038,Restaurants status: Indoor dining allowed with restrictions
Chariton County  MO,Missouri,No,54,0,-1,0.045,Restaurants status: Indoor dining allowed with restrictions
Lake County  MN,Minnesota,Yes,38,-0.6,-1,0.019,Restaurants status: Dine-in allowed with restrictions
Perry County  MS,Mississippi,No,33,1,-1,0,Restaurants status: Dine-in allowed with restrictions
Morris County  KS,Kansas,No,53,-0.4,-1,0.038,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Haskell County  OK,Oklahoma,No,24,0.5,-1,0,Restaurants status: Dine-in allowed without restrictions
Greenlee County  AZ,Arizona,No,32,2,-1,0,Restaurants status: Dine-in allowed with restrictions
Prairie County  MT,Montana,No,279,-0.5,-1,0,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Jefferson County  MS,Mississippi,No,43,-0.5,-1,0.087,Restaurants status: Dine-in allowed with restrictions
Hardin County  IL,Illinois,Yes,79,0.5,-1,0,Restaurants status: Dine-in allowed with restrictions
Unallocated  NM,New Mexico,Yes,nan,-0.25,-1,0,Restaurants status: Dine-in allowed with restrictions
Parke County  IN,Indiana,No,18,-0.77,-1,0.027,Restaurants status: Dine-in allowed with restrictions
Dewey County  SD,South Dakota,No,51,-0.4,-1,0.059,Restaurants status: Dine-in allowed with restrictions
Warren County  IN,Indiana,No,36,-0.67,-1,0.016,Restaurants status: Dine-in allowed with restrictions
Roger Mills County  OK,Oklahoma,No,84,0,-1,0,Restaurants status: Dine-in allowed without restrictions
Union County  IN,Indiana,No,43,2,-1,0.029,Restaurants status: Dine-in allowed with restrictions
Rosebud County  MT,Montana,No,34,-0.25,-1,0.047,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Moody County  SD,South Dakota,No,46,0.5,-1,0,Restaurants status: Dine-in allowed with restrictions
Jack County  TX,Texas,No,34,0,-1,0,Restaurants status: Dine-in allowed without restrictions
Gogebic County  MI,Michigan,Yes,21,-0.8,-1,0.019,Restaurants status: Dine-in allowed with restrictions
Perry County  AL,Alabama,No,34,0,-1,0.023,Restaurants status: Dine-in allowed with restrictions
Trinity County  CA,California,Yes,24,-0.5,-1,nan,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Mono County  CA,California,Yes,21,-0.75,-1,nan,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Taylor County  FL,Florida,No,14,0,-1,0.025,Restaurants status: Dine-in allowed with restrictions
Linn County  MO,Missouri,No,25,-0.4,-1,0,Restaurants status: Indoor dining allowed with restrictions
Menominee County  WI,Wisconsin,No,66,0,-1,0.022,Restaurants status: Dine-in allowed with restrictions
Marion County  IL,Illinois,Yes,8,-0.82,-1,0.002,Restaurants status: Dine-in allowed with restrictions
Northumberland County  VA,Virginia,Yes,25,-0.7,-1,0,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Jim Hogg County  TX,Texas,No,58,2,-1,0.014,Restaurants status: Dine-in allowed without restrictions
Anderson County  TX,Texas,No,5,0,-1,0.028,Restaurants status: Dine-in allowed without restrictions
Pickens County  AL,Alabama,No,15,-0.4,-1,0.013,Restaurants status: Dine-in allowed with restrictions
Washington County  KY,Kentucky,Yes,25,-0.57,-1,0.032,Restaurants status: Dine-in allowed without restrictions
Denali Borough  AK,Alaska,No,143,-0.57,nan,0.071,Restaurants status: Dine-in allowed without restrictions
Audubon County  IA,Iowa,No,55,-0.5,-1,0.035,Restaurants status: Dine-in allowed with restrictions
Houston County  MN,Minnesota,Yes,16,-0.8,-1,0.035,Restaurants status: Dine-in allowed with restrictions
Kit Carson County  CO,Colorado,Yes,42,-0.67,-1,0.014,Restaurants status: Dine-in allowed with restrictions
Lincoln County  CO,Colorado,Yes,53,2,-1,0.029,Restaurants status: Dine-in allowed with restrictions
Gray County  KS,Kansas,No,50,0,-1,0.022,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Wrangell City and Borough  AK,Alaska,No,120,2,nan,0.009,Restaurants status: Dine-in allowed without restrictions
Stephens County  TX,Texas,No,32,0,-1,0.154,Restaurants status: Dine-in allowed without restrictions
Franklin County  FL,Florida,No,25,0,0,0.094,Restaurants status: Dine-in allowed with restrictions
Zavala County  TX,Texas,No,25,-0.5,-1,0.083,Restaurants status: Dine-in allowed without restrictions
Callahan County  TX,Texas,No,22,-0.7,-1,0.121,Restaurants status: Dine-in allowed without restrictions
Yoakum County  TX,Texas,No,34,0,-1,0,Restaurants status: Dine-in allowed without restrictions
Prowers County  CO,Colorado,Yes,25,0,-1,0.009,Restaurants status: Dine-in allowed with restrictions
Harlan County  NE,Nebraska,No,89,0,nan,0,Restaurants status: Dine-in allowed without restrictions
Tucker County  WV,West Virginia,Yes,44,-0.25,-1,0.057,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Clay County  KS,Kansas,No,37,0.5,-1,0.026,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Ward County  TX,Texas,No,25,0.5,-1,0.057,Restaurants status: Dine-in allowed without restrictions
Sherman County  OR,Oregon,Yes,169,0,nan,0.077,Restaurants status: Dine-in allowed with restrictions
Choctaw County  MS,Mississippi,No,37,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Cedar County  MO,Missouri,No,21,2,-1,0.024,Restaurants status: Indoor dining allowed with restrictions
Clay County  NE,Nebraska,No,48,0,-1,0.235,Restaurants status: Dine-in allowed without restrictions
Marion County  KS,Kansas,No,25,2,-1,0.078,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Houston County  TX,Texas,No,13,0.5,0,0.006,Restaurants status: Dine-in allowed without restrictions
Motley County  TX,Texas,No,250,0.5,-1,0.2,Restaurants status: Dine-in allowed without restrictions
Butler County  IA,Iowa,No,21,0,0,0.02,Restaurants status: Dine-in allowed with restrictions
McPherson County  SD,South Dakota,No,126,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Burt County  NE,Nebraska,No,46,-0.5,-1,0.065,Restaurants status: Dine-in allowed without restrictions
Madison County  FL,Florida,No,16,-0.25,-1,0.005,Restaurants status: Dine-in allowed with restrictions
Jefferson County  IA,Iowa,No,16,0,-1,0.02,Restaurants status: Dine-in allowed with restrictions
Kingman County  KS,Kansas,No,42,0,-1,0.017,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Kearny County  KS,Kansas,No,78,2,-1,0.1,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Lyman County  SD,South Dakota,No,79,-0.4,-1,0.036,Restaurants status: Dine-in allowed with restrictions
Hamilton County  IA,Iowa,No,20,-0.57,0.5,0.044,Restaurants status: Dine-in allowed with restrictions
Humboldt County  IA,Iowa,No,31,-0.4,-1,0.04,Restaurants status: Dine-in allowed with restrictions
Huerfano County  CO,Colorado,Yes,43,0,-1,0.005,Restaurants status: Dine-in allowed with restrictions
Harper County  OK,Oklahoma,No,81,0,-1,0.167,Restaurants status: Dine-in allowed without restrictions
Morgan County  AL,Alabama,No,3,-0.87,3,0.051,Restaurants status: Dine-in allowed with restrictions
Foster County  ND,North Dakota,No,93,0,-1,0.125,Restaurants status: Dine-in allowed with restrictions
Wilcox County  GA,Georgia,No,35,-0.25,-1,0,Restaurants status: Dine-in allowed with restrictions
Duval County  TX,Texas,No,27,0.5,-1,0.015,Restaurants status: Dine-in allowed without restrictions
Daviess County  MO,Missouri,No,36,2,-1,0.027,Restaurants status: Indoor dining allowed with restrictions
Hickman County  KY,Kentucky,Yes,68,-0.5,-1,0.014,Restaurants status: Dine-in allowed without restrictions
Dunn County  ND,North Dakota,No,68,0,-1,0.038,Restaurants status: Dine-in allowed with restrictions
Crisp County  GA,Georgia,No,13,-0.5,-0.33,0.02,Restaurants status: Dine-in allowed with restrictions
Wheeler County  GA,Georgia,No,38,2,-1,0.188,Restaurants status: Dine-in allowed with restrictions
Wilkinson County  GA,Georgia,No,34,0,0,0.08,Restaurants status: Dine-in allowed with restrictions
Drew County  AR,Arkansas,No,16,-0.4,0,0,Restaurants status: Dine-in allowed with restrictions
Dickey County  ND,North Dakota,No,62,-0.7,-1,0,Restaurants status: Dine-in allowed with restrictions
Winston County  MS,Mississippi,No,17,-0.5,-1,0.053,Restaurants status: Dine-in allowed with restrictions
Charlton County  GA,Georgia,No,22,0,-1,0.041,Restaurants status: Dine-in allowed with restrictions
Madison Parish  LA,Louisiana,Yes,27,0,-1,0.047,Restaurants status: Dine-in allowed with restrictions
Lexington city  VA,Virginia,Yes,40,2,-1,0.002,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Boundary County  ID,Idaho,No,24,-0.25,-1,0.019,Restaurants status: Dine-in allowed with restrictions
Grant County  ND,North Dakota,No,132,-0.25,-1,0,Restaurants status: Dine-in allowed with restrictions
Wright County  MO,Missouri,No,16,-0.25,-1,0.031,Restaurants status: Indoor dining allowed with restrictions
Polk County  AR,Arkansas,No,15,-0.4,-1,0,Restaurants status: Dine-in allowed with restrictions
Lanier County  GA,Georgia,No,29,0,-1,0.08,Restaurants status: Dine-in allowed with restrictions
Osage County  MO,Missouri,No,22,-0.75,-1,0.047,Restaurants status: Indoor dining allowed with restrictions
Bollinger County  MO,Missouri,No,25,0,-1,0.05,Restaurants status: Indoor dining allowed with restrictions
Monroe County  MO,Missouri,No,35,2,-1,0.05,Restaurants status: Indoor dining allowed with restrictions
Irwin County  GA,Georgia,No,32,-0.25,-1,0.037,Restaurants status: Dine-in allowed with restrictions
Perry County  AR,Arkansas,No,29,-0.25,-1,0.048,Restaurants status: Dine-in allowed with restrictions
Owen County  KY,Kentucky,Yes,28,2,-1,0.013,Restaurants status: Dine-in allowed without restrictions
Schuyler County  MO,Missouri,No,64,0,-1,0.059,Restaurants status: Indoor dining allowed with restrictions
Delta County  TX,Texas,No,56,0.5,-1,0,Restaurants status: Dine-in allowed without restrictions
Pembina County  ND,North Dakota,No,44,-0.73,-1,0.094,Restaurants status: Dine-in allowed with restrictions
Marion County  GA,Georgia,No,36,0,-1,0.143,Restaurants status: Dine-in allowed with restrictions
Klickitat County  WA,Washington,Yes,13,-0.4,-1,0.012,Restaurants status: Dine-in allowed with restrictions
Magoffin County  KY,Kentucky,Yes,25,-0.86,-1,0.041,Restaurants status: Dine-in allowed without restrictions
Elbert County  GA,Georgia,No,16,-0.25,0.5,0.036,Restaurants status: Dine-in allowed with restrictions
Claiborne Parish  LA,Louisiana,Yes,19,-0.62,-1,0,Restaurants status: Dine-in allowed with restrictions
Richland Parish  LA,Louisiana,Yes,15,-0.5,-1,0.038,Restaurants status: Dine-in allowed with restrictions
Cowley County  KS,Kansas,No,9,-0.73,-1,0.008,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Wilson County  KS,Kansas,No,35,2,-1,0,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Custer County  OK,Oklahoma,No,10,-0.4,-1,0,Restaurants status: Dine-in allowed without restrictions
Cimarron County  OK,Oklahoma,No,140,-0.5,-1,0,Restaurants status: Dine-in allowed without restrictions
Brooks County  GA,Georgia,No,19,-0.5,-1,0,Restaurants status: Dine-in allowed with restrictions
Gooding County  ID,Idaho,No,20,-0.67,-1,0.011,Restaurants status: Dine-in allowed with restrictions
Tunica County  MS,Mississippi,No,31,-0.25,-1,0.034,Restaurants status: Dine-in allowed with restrictions
Swain County  NC,North Carolina,Yes,21,-0.67,-1,0,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Stevens County  KS,Kansas,No,55,-0.4,-1,0.176,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Hardeman County  TX,Texas,No,76,2,-1,0.231,Restaurants status: Dine-in allowed without restrictions
Sevier County  AR,Arkansas,No,18,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Knox County  MO,Missouri,No,51,-0.75,-1,0,Restaurants status: Indoor dining allowed with restrictions
Northwest Arctic Borough  AK,Alaska,No,26,1,-1,0.004,Restaurants status: Dine-in allowed without restrictions
Wayne County  IA,Iowa,No,31,-0.6,-1,0.03,Restaurants status: Dine-in allowed with restrictions
Brown County  IL,Illinois,Yes,30,1,-1,0,Restaurants status: Dine-in allowed with restrictions
Nome Census Area  AK,Alaska,No,20,-0.5,nan,0.002,Restaurants status: Dine-in allowed without restrictions
Merrick County  NE,Nebraska,No,26,0,-1,0.12,Restaurants status: Dine-in allowed without restrictions
Massac County  IL,Illinois,Yes,15,1,1,0.009,Restaurants status: Dine-in allowed with restrictions
Pendleton County  WV,West Virginia,Yes,29,-0.9,-1,0.004,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Pickett County  TN,Tennessee,No,40,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Jefferson County  FL,Florida,No,14,-0.78,-1,0.011,Restaurants status: Dine-in allowed with restrictions
Calhoun County  IL,Illinois,Yes,42,0,-1,0.031,Restaurants status: Dine-in allowed with restrictions
Choctaw County  AL,Alabama,No,16,0,-1,0.138,Restaurants status: Dine-in allowed with restrictions
Macon County  GA,Georgia,No,15,-0.87,-1,0,Restaurants status: Dine-in allowed with restrictions
Carroll County  MS,Mississippi,No,20,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Petersburg Borough  AK,Alaska,No,61,-0.67,-1,0.006,Restaurants status: Dine-in allowed without restrictions
Pawnee County  OK,Oklahoma,No,12,-0.6,11,0.043,Restaurants status: Dine-in allowed without restrictions
Renville County  ND,North Dakota,No,86,-0.33,-1,0,Restaurants status: Dine-in allowed with restrictions
Hanson County  SD,South Dakota,No,58,-0.33,-1,0.056,Restaurants status: Dine-in allowed with restrictions
Wells County  ND,North Dakota,No,52,-0.5,-1,0.286,Restaurants status: Dine-in allowed with restrictions
Perquimans County  NC,North Carolina,Yes,15,1,-1,0.024,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Wilbarger County  TX,Texas,No,16,-0.71,-1,0.011,Restaurants status: Dine-in allowed without restrictions
Sanborn County  SD,South Dakota,No,85,0,-1,0.091,Restaurants status: Dine-in allowed with restrictions
Brown County  KS,Kansas,No,21,-0.67,-1,0.023,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Dixie County  FL,Florida,No,12,-0.8,-1,0.029,Restaurants status: Dine-in allowed with restrictions
Red Lake County  MN,Minnesota,Yes,49,-0.33,-1,0.055,Restaurants status: Dine-in allowed with restrictions
Vieques Municipio  PR,Puerto Rico,Yes,24,1,nan,0.4,
Rolette County  ND,North Dakota,No,14,0,-1,0.009,Restaurants status: Dine-in allowed with restrictions
Jenkins County  GA,Georgia,No,23,-0.5,-1,0.038,Restaurants status: Dine-in allowed with restrictions
Lafayette County  AR,Arkansas,No,30,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Lamar County  AL,Alabama,No,14,-0.83,-1,0.029,Restaurants status: Dine-in allowed with restrictions
Johnson County  NE,Nebraska,No,39,0,-1,0.059,Restaurants status: Dine-in allowed without restrictions
Sheridan County  ND,North Dakota,No,152,-0.71,-1,0.029,Restaurants status: Dine-in allowed with restrictions
Attala County  MS,Mississippi,No,11,-0.33,-1,0.007,Restaurants status: Dine-in allowed with restrictions
Greene County  AL,Alabama,No,25,-0.33,-1,0,Restaurants status: Dine-in allowed with restrictions
Sherman County  NE,Nebraska,No,67,0,-1,0.273,Restaurants status: Dine-in allowed without restrictions
Surry County  VA,Virginia,Yes,31,-0.6,-1,0.014,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Izard County  AR,Arkansas,No,15,-0.67,-1,0.013,Restaurants status: Dine-in allowed with restrictions
Clay County  GA,Georgia,No,71,-0.5,-1,0,Restaurants status: Dine-in allowed with restrictions
Union County  IL,Illinois,Yes,12,-0.33,-1,0.008,Restaurants status: Dine-in allowed with restrictions
Jackson County  TN,Tennessee,No,17,-0.71,-1,0,Restaurants status: Dine-in allowed with restrictions
Adair County  IA,Iowa,No,28,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Perkins County  SD,South Dakota,No,70,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Wilcox County  AL,Alabama,No,19,0,-1,0.026,Restaurants status: Dine-in allowed with restrictions
DeKalb County  MO,Missouri,No,16,1,-1,0,Restaurants status: Indoor dining allowed with restrictions
Noble County  OK,Oklahoma,No,18,1,2,0,Restaurants status: Dine-in allowed without restrictions
Idaho County  ID,Idaho,No,12,-0.33,-1,0,Restaurants status: Dine-in allowed with restrictions
Edwards County  IL,Illinois,Yes,31,-0.5,-1,0.051,Restaurants status: Dine-in allowed with restrictions
Switzerland County  IN,Indiana,No,19,0,-1,0.065,Restaurants status: Dine-in allowed with restrictions
Walworth County  SD,South Dakota,No,37,-0.78,-1,0.067,Restaurants status: Dine-in allowed with restrictions
De Baca County  NM,New Mexico,Yes,114,1,-1,0,Restaurants status: Dine-in allowed with restrictions
Clark County  ID,Idaho,No,237,1,nan,0,Restaurants status: Dine-in allowed with restrictions
Maricao Municipio  PR,Puerto Rico,Yes,37,1,nan,0.333,
Daviess County  IN,Indiana,No,6,-0.67,-1,0,Restaurants status: Dine-in allowed with restrictions
Martin County  IN,Indiana,No,20,-0.6,-1,0.041,Restaurants status: Dine-in allowed with restrictions
Schuyler County  IL,Illinois,Yes,30,0,-1,0.004,Restaurants status: Dine-in allowed with restrictions
Humphreys County  MS,Mississippi,No,25,0,-1,0.083,Restaurants status: Dine-in allowed with restrictions
Lucas County  IA,Iowa,No,23,1,-1,0,Restaurants status: Dine-in allowed with restrictions
Webster County  WV,West Virginia,Yes,25,-0.88,-1,0.021,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Stanton County  NE,Nebraska,No,34,0,-1,0.286,Restaurants status: Dine-in allowed without restrictions
Pushmataha County  OK,Oklahoma,No,18,0,-1,0,Restaurants status: Dine-in allowed without restrictions
Echols County  GA,Georgia,No,50,1,-1,0,Restaurants status: Dine-in allowed with restrictions
Dallas County  MO,Missouri,No,12,1,-1,0,Restaurants status: Indoor dining allowed with restrictions
Big Horn County  WY,Wyoming,No,17,-0.67,-1,0.012,Restaurants status: Dine-in allowed with restrictions
Kiowa County  OK,Oklahoma,No,23,1,-1,0,Restaurants status: Dine-in allowed without restrictions
Ferry County  WA,Washington,Yes,26,-0.33,-1,0.052,Restaurants status: Dine-in allowed with restrictions
Valley County  NE,Nebraska,No,48,-0.33,-1,0.111,Restaurants status: Dine-in allowed without restrictions
Oneida County  ID,Idaho,No,44,-0.5,-1,0.009,Restaurants status: Dine-in allowed with restrictions
Griggs County  ND,North Dakota,No,90,0,-1,0.118,Restaurants status: Dine-in allowed with restrictions
Power County  ID,Idaho,No,26,-0.6,-1,0.143,Restaurants status: Dine-in allowed with restrictions
George County  MS,Mississippi,No,8,-0.75,-1,0,Restaurants status: Dine-in allowed with restrictions
Little River County  AR,Arkansas,No,16,-0.71,-1,0,Restaurants status: Dine-in allowed with restrictions
Unallocated  NY,New York,Yes,nan,-0.82,-0.3,0.117,Restaurants status: Dine-in allowed with restrictions
Decatur County  TN,Tennessee,No,17,-0.6,-1,0,Restaurants status: Dine-in allowed with restrictions
Webster County  NE,Nebraska,No,57,1,-1,0.5,Restaurants status: Dine-in allowed without restrictions
Baker County  GA,Georgia,No,66,1,-1,0.111,Restaurants status: Dine-in allowed with restrictions
Carter County  MO,Missouri,No,33,-0.33,-1,0,Restaurants status: Indoor dining allowed with restrictions
Kent County  TX,Texas,No,262,1,-1,0,Restaurants status: Dine-in allowed without restrictions
Unallocated  CO,Colorado,Yes,nan,0,-1,0.02,Restaurants status: Dine-in allowed with restrictions
Keweenaw County  MI,Michigan,Yes,95,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Trego County  KS,Kansas,No,71,0,-1,0.028,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Valley County  MT,Montana,No,27,0,-1,0.05,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Madison County  AR,Arkansas,No,12,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Bent County  CO,Colorado,Yes,36,0,-1,0.003,Restaurants status: Dine-in allowed with restrictions
Carbon County  MT,Montana,No,19,0,-1,0,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
San Augustine County  TX,Texas,No,24,-0.33,-1,0.135,Restaurants status: Dine-in allowed without restrictions
West Carroll Parish  LA,Louisiana,Yes,18,0,-1,0.029,Restaurants status: Dine-in allowed with restrictions
Nemaha County  KS,Kansas,No,20,0,-1,0.015,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Washakie County  WY,Wyoming,No,26,1,-1,0.02,Restaurants status: Dine-in allowed with restrictions
Nevada County  AR,Arkansas,No,24,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Iron County  WI,Wisconsin,No,35,0,-1,0.014,Restaurants status: Dine-in allowed with restrictions
Washington County  KS,Kansas,No,37,0,-1,0.024,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Red River County  TX,Texas,No,17,0,-1,0,Restaurants status: Dine-in allowed without restrictions
Cook County  MN,Minnesota,Yes,37,-0.6,nan,0.007,Restaurants status: Dine-in allowed with restrictions
Desha County  AR,Arkansas,No,18,0,-1,0.013,Restaurants status: Dine-in allowed with restrictions
Meagher County  MT,Montana,No,107,1,-1,0.143,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Marion County  TX,Texas,No,20,0,-1,0.036,Restaurants status: Dine-in allowed without restrictions
Ontonagon County  MI,Michigan,Yes,35,0,-1,0.081,Restaurants status: Dine-in allowed with restrictions
Gallatin County  KY,Kentucky,Yes,23,-0.71,-1,0.014,Restaurants status: Dine-in allowed without restrictions
La Paz County  AZ,Arizona,No,9,-0.67,-0.67,0.024,Restaurants status: Dine-in allowed with restrictions
Grant County  AR,Arkansas,No,11,-0.75,-1,0,Restaurants status: Dine-in allowed with restrictions
Pike County  AR,Arkansas,No,19,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Calhoun County  SC,South Carolina,No,14,-0.67,-1,0.024,Restaurants status: Indoor dining allowed with restrictions
Chase County  NE,Nebraska,No,51,1,-1,0.045,Restaurants status: Dine-in allowed without restrictions
Nolan County  TX,Texas,No,14,-0.6,-1,0.023,Restaurants status: Dine-in allowed without restrictions
Red River Parish  LA,Louisiana,Yes,24,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Douglas County  SD,South Dakota,No,68,-0.67,-1,0.036,Restaurants status: Dine-in allowed with restrictions
Costilla County  CO,Colorado,Yes,51,0,-1,0.186,Restaurants status: Dine-in allowed with restrictions
Hartley County  TX,Texas,No,36,-0.5,-1,nan,Restaurants status: Dine-in allowed without restrictions
Beaverhead County  MT,Montana,No,21,-0.5,-1,0.034,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Marshall County  KS,Kansas,No,21,1,-1,0,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Aurora County  SD,South Dakota,No,73,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Hempstead County  AR,Arkansas,No,9,-0.85,0,0.014,Restaurants status: Dine-in allowed with restrictions
St. Clair County  MO,Missouri,No,21,-0.33,-1,0,Restaurants status: Indoor dining allowed with restrictions
Comanche County  TX,Texas,No,15,-0.67,-1,0,Restaurants status: Dine-in allowed without restrictions
Furnas County  NE,Nebraska,No,43,1,-1,0,Restaurants status: Dine-in allowed without restrictions
Plumas County  CA,California,Yes,11,-0.8,-1,nan,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Stillwater County  MT,Montana,No,21,-0.5,-1,0.013,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Toole County  MT,Montana,No,42,0,-1,0.009,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Rice County  KS,Kansas,No,21,1,-1,0.026,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Shannon County  MO,Missouri,No,24,0,-1,0,Restaurants status: Indoor dining allowed with restrictions
Bon Homme County  SD,South Dakota,No,29,0,-1,0.081,Restaurants status: Dine-in allowed with restrictions
Ouray County  CO,Colorado,Yes,40,-0.33,-1,0.047,Restaurants status: Dine-in allowed with restrictions
La Salle County  TX,Texas,No,27,-0.93,0,0.026,Restaurants status: Dine-in allowed without restrictions
Lewis County  MO,Missouri,No,20,-0.5,-1,0,Restaurants status: Indoor dining allowed with restrictions
Crane County  TX,Texas,No,42,-0.33,-1,0.2,Restaurants status: Dine-in allowed without restrictions
Searcy County  AR,Arkansas,No,25,-0.33,0,0.043,Restaurants status: Dine-in allowed with restrictions
Hudspeth County  TX,Texas,No,41,0,-1,0.1,Restaurants status: Dine-in allowed without restrictions
Ozark County  MO,Missouri,No,22,0,-1,0,Restaurants status: Indoor dining allowed with restrictions
Pawnee County  KS,Kansas,No,31,0,-1,0.029,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Buffalo County  WI,Wisconsin,No,15,-0.33,-1,0.009,Restaurants status: Dine-in allowed with restrictions
Henderson County  IL,Illinois,Yes,15,-0.8,-1,0.021,Restaurants status: Dine-in allowed with restrictions
Graham County  NC,North Carolina,Yes,12,0,-1,0,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Dale County  AL,Alabama,No,2,-0.95,-1,0.064,Restaurants status: Dine-in allowed with restrictions
Gentry County  MO,Missouri,No,15,-0.67,-1,0,Restaurants status: Indoor dining allowed with restrictions
Custer County  ID,Idaho,No,23,-0.67,-1,0,Restaurants status: Dine-in allowed with restrictions
Irion County  TX,Texas,No,65,0,-1,0,Restaurants status: Dine-in allowed without restrictions
Candler County  GA,Georgia,No,9,0,-0.5,0,Restaurants status: Dine-in allowed with restrictions
Baylor County  TX,Texas,No,28,0,-1,0.091,Restaurants status: Dine-in allowed without restrictions
Prairie County  AR,Arkansas,No,12,0,-1,0.028,Restaurants status: Dine-in allowed with restrictions
Haskell County  TX,Texas,No,18,-0.5,-1,0,Restaurants status: Dine-in allowed without restrictions
Sully County  SD,South Dakota,No,72,0,-1,0.25,Restaurants status: Dine-in allowed with restrictions
Stone County  AR,Arkansas,No,8,0,-1,0,Restaurants status: Dine-in allowed with restrictions
Spink County  SD,South Dakota,No,16,-0.8,-1,0.02,Restaurants status: Dine-in allowed with restrictions
Mercer County  MO,Missouri,No,28,0,-1,0,Restaurants status: Indoor dining allowed with restrictions
Minidoka County  ID,Idaho,No,5,-0.88,-1,0.008,Restaurants status: Dine-in allowed with restrictions
Sharkey County  MS,Mississippi,No,23,0,-1,0,Restaurants status: Dine-in allowed with restrictions
