County,State,Mask Mandate,Case per 100k,Case Change,Death Change,Positivity Rate
Washington County  PA,Pennsylvania,Yes,234,0.04,0,0.074,Restaurants status: Dine-in allowed without restrictions
York County  ME,Maine,Yes,232,0.36,-1,0.06,Restaurants status: Indoor dining allowed with restrictions
Muskegon County  MI,Michigan,Yes,276,0.26,-1,0.112,Restaurants status: Dine-in allowed with restrictions
Allegan County  MI,Michigan,Yes,401,0.26,-1,0.166,Restaurants status: Dine-in allowed with restrictions
Williamson County  TX,Texas,No,80,-0.05,0.17,0.05,Restaurants status: Dine-in allowed without restrictions
Knox County  TN,Tennessee,No,101,0.02,-0.27,0.1,Restaurants status: Dine-in allowed with restrictions
Cumberland County  ME,Maine,Yes,160,0.29,-1,0.035,Restaurants status: Indoor dining allowed with restrictions
Cass County  ND,North Dakota,No,257,-0.19,0,0.054,Restaurants status: Dine-in allowed with restrictions
San Juan Municipio  PR,Puerto Rico,Yes,146,0.28,nan,0.357,
Minnehaha County  SD,South Dakota,No,240,-0.1,-1,0.128,Restaurants status: Dine-in allowed with restrictions
Bernalillo County  NM,New Mexico,Yes,68,-0.11,1.67,0.028,Restaurants status: Dine-in allowed with restrictions
Chesterfield County  VA,Virginia,Yes,130,0.12,-0.22,0.072,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Barnstable County  MA,Massachusetts,Yes,216,-0.31,-0.38,0.051,Restaurants status: Dine-in allowed with restrictions
Shiawassee County  MI,Michigan,Yes,671,0.54,-1,0.203,Restaurants status: Dine-in allowed with restrictions
Honolulu County  HI,Hawaii,Yes,47,0.07,1,0.022,Restaurants status: Dine-in allowed without restrictions
Richland County  SC,South Carolina,No,109,-0.19,-0.6,0.037,Restaurants status: Indoor dining allowed with restrictions
Ulster County  NY,New York,Yes,250,-0.16,-1,0.072,Restaurants status: Dine-in allowed with restrictions
Rutherford County  TN,Tennessee,No,133,-0.18,-0.14,0.095,Restaurants status: Dine-in allowed with restrictions
Lenawee County  MI,Michigan,Yes,448,0.59,1,0.076,Restaurants status: Dine-in allowed with restrictions
Centre County  PA,Pennsylvania,Yes,270,-0.1,-1,0.079,Restaurants status: Dine-in allowed without restrictions
McLean County  IL,Illinois,Yes,255,0.05,0,0.054,Restaurants status: Dine-in allowed with restrictions
Kern County  CA,California,Yes,48,0.04,-0.48,0.021,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
St. Lucie County  FL,Florida,No,133,0.11,-0.25,0.083,Restaurants status: Dine-in allowed with restrictions
Nueces County  TX,Texas,No,120,-0.16,1,0.073,Restaurants status: Dine-in allowed without restrictions
York County  SC,South Carolina,No,154,0.05,-0.33,0.077,Restaurants status: Indoor dining allowed with restrictions
Chittenden County  VT,Vermont,Yes,264,-0.1,-0.5,0.019,Restaurants status: Dine-in allowed without restrictions
Oklahoma County  OK,Oklahoma,No,54,-0.12,19.56,0.045,Restaurants status: Dine-in allowed without restrictions
Saratoga County  NY,New York,Yes,185,0.03,2,0.035,Restaurants status: Dine-in allowed with restrictions
McHenry County  IL,Illinois,Yes,137,0.39,-1,0.062,Restaurants status: Dine-in allowed with restrictions
St. Charles County  MO,Missouri,No,105,-0.17,-1,0.066,Restaurants status: Indoor dining allowed with restrictions
Litchfield County  CT,Connecticut,Yes,233,-0.31,3,0.043,Restaurants status: Dine-in allowed with restrictions
Isabella County  MI,Michigan,Yes,597,1.06,0,0.156,Restaurants status: Dine-in allowed with restrictions
Butler County  PA,Pennsylvania,Yes,219,0.03,0,0.079,Restaurants status: Dine-in allowed without restrictions
Jefferson County  AL,Alabama,No,62,-0.07,1.33,0.056,Restaurants status: Dine-in allowed with restrictions
Tuscola County  MI,Michigan,Yes,783,0.13,5,0.326,Restaurants status: Dine-in allowed with restrictions
Kent County  RI,Rhode Island,Yes,248,0.22,-1,0.037,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only with restrictions"
Lancaster County  NE,Nebraska,No,128,0.03,-0.67,0.052,Restaurants status: Dine-in allowed without restrictions
Johnson County  KS,Kansas,No,68,0.22,-1,0.03,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Howard County  MD,Maryland,Yes,125,-0.05,0.5,0.057,Restaurants status: Dine-in allowed with restrictions
Kent County  DE,Delaware,Yes,223,0.04,-1,0.054,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Galveston County  TX,Texas,No,117,-0.17,0.2,0.069,Restaurants status: Dine-in allowed without restrictions
Berrien County  MI,Michigan,Yes,260,-0.05,2,0.12,Restaurants status: Dine-in allowed with restrictions
Carver County  MN,Minnesota,Yes,380,0.3,-1,0.12,Restaurants status: Dine-in allowed with restrictions
Stearns County  MN,Minnesota,Yes,246,-0.08,2,0.07,Restaurants status: Dine-in allowed with restrictions
Hunterdon County  NJ,New Jersey,Yes,318,-0.16,1,0.077,Restaurants status: Dine-in allowed with restrictions
Cameron County  TX,Texas,No,94,0.31,-0.52,0.092,Restaurants status: Dine-in allowed without restrictions
Brazoria County  TX,Texas,No,104,-0.17,-0.3,0.091,Restaurants status: Dine-in allowed without restrictions
Lorain County  OH,Ohio,Yes,124,0.04,-1,0.124,Restaurants status: Dine-in allowed with restrictions
Albany County  NY,New York,Yes,125,-0.21,-1,0.043,Restaurants status: Dine-in allowed with restrictions
